Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Separations,Frederick WIA,Maryland Separations by Industry,2015Q2,72,Accommodation and Food Services,2582,
Separations,Frederick WIA,Maryland Separations by Industry,2018Q2,72,Accommodation and Food Services,2780,
Separations,Frederick WIA,Maryland Separations by Industry,2019Q2,72,Accommodation and Food Services,2936,
Separations,Frederick WIA,Maryland Separations by Industry,2020Q2,72,Accommodation and Food Services,1647,
Separations,Frederick WIA,Maryland Separations by Industry,2015Q3,72,Accommodation and Food Services,3174,
Separations,Frederick WIA,Maryland Separations by Industry,2016Q3,72,Accommodation and Food Services,3266,
Separations,Frederick WIA,Maryland Separations by Industry,2018Q3,72,Accommodation and Food Services,3559,
Separations,Frederick WIA,Maryland Separations by Industry,2019Q3,72,Accommodation and Food Services,3552,
Separations,Frederick WIA,Maryland Separations by Industry,2017Q3,72,Accommodation and Food Services,3067,
Separations,Frederick WIA,Maryland Separations by Industry,2020Q3,72,Accommodation and Food Services,2446,
Separations,Frederick WIA,Maryland Separations by Industry,2015Q4,72,Accommodation and Food Services,2518,
Separations,Frederick WIA,Maryland Separations by Industry,2018Q4,72,Accommodation and Food Services,2834,
Separations,Frederick WIA,Maryland Separations by Industry,2017Q4,72,Accommodation and Food Services,2689,
Separations,Frederick WIA,Maryland Separations by Industry,2020Q4,72,Accommodation and Food Services,2206,
Separations,Frederick WIA,Maryland Separations by Industry,2016Q4,72,Accommodation and Food Services,2517,
Separations,Frederick WIA,Maryland Separations by Industry,2019Q4,72,Accommodation and Food Services,2818,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2018Q1,72,Accommodation and Food Services,15.4,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2017Q1,72,Accommodation and Food Services,14,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2019Q1,72,Accommodation and Food Services,14.7,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2015Q1,72,Accommodation and Food Services,15.7,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2016Q1,72,Accommodation and Food Services,14.9,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2020Q1,72,Accommodation and Food Services,14.5,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2021Q1,72,Accommodation and Food Services,TBD,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2015Q2,72,Accommodation and Food Services,15.4,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2017Q2,72,Accommodation and Food Services,15.3,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2016Q2,72,Accommodation and Food Services,15.6,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2019Q2,72,Accommodation and Food Services,16,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2018Q2,72,Accommodation and Food Services,15.5,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2020Q2,72,Accommodation and Food Services,15.2,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2015Q3,72,Accommodation and Food Services,15.8,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2016Q3,72,Accommodation and Food Services,14.8,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2017Q3,72,Accommodation and Food Services,15.5,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2019Q3,72,Accommodation and Food Services,15.9,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2018Q3,72,Accommodation and Food Services,16.2,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2020Q3,72,Accommodation and Food Services,11.5,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2016Q4,72,Accommodation and Food Services,14.5,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2017Q4,72,Accommodation and Food Services,14.4,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2015Q4,72,Accommodation and Food Services,14.4,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2019Q4,72,Accommodation and Food Services,23.3,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2018Q4,72,Accommodation and Food Services,15.2,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2020Q4,72,Accommodation and Food Services,TBD,
Workers,Frederick WIA,Maryland Workers by Industry,2016Q1,72,Accommodation and Food Services,9669,
Workers,Frederick WIA,Maryland Workers by Industry,2015Q1,72,Accommodation and Food Services,9376,
Workers,Frederick WIA,Maryland Workers by Industry,2017Q1,72,Accommodation and Food Services,9756,
Workers,Frederick WIA,Maryland Workers by Industry,2018Q1,72,Accommodation and Food Services,10415,
Workers,Frederick WIA,Maryland Workers by Industry,2019Q1,72,Accommodation and Food Services,10572,
Workers,Frederick WIA,Maryland Workers by Industry,2020Q1,72,Accommodation and Food Services,10445,
Workers,Frederick WIA,Maryland Workers by Industry,2021Q1,72,Accommodation and Food Services,8503,
Workers,Frederick WIA,Maryland Workers by Industry,2015Q2,72,Accommodation and Food Services,9519,
Workers,Frederick WIA,Maryland Workers by Industry,2016Q2,72,Accommodation and Food Services,9761,
Workers,Frederick WIA,Maryland Workers by Industry,2017Q2,72,Accommodation and Food Services,10055,
Workers,Frederick WIA,Maryland Workers by Industry,2018Q2,72,Accommodation and Food Services,10353,
Workers,Frederick WIA,Maryland Workers by Industry,2019Q2,72,Accommodation and Food Services,10665,
Workers,Frederick WIA,Maryland Workers by Industry,2020Q2,72,Accommodation and Food Services,8187,
Workers,Frederick WIA,Maryland Workers by Industry,2016Q3,72,Accommodation and Food Services,10222,
Workers,Frederick WIA,Maryland Workers by Industry,2018Q3,72,Accommodation and Food Services,11093,
Workers,Frederick WIA,Maryland Workers by Industry,2017Q3,72,Accommodation and Food Services,10471,
Workers,Frederick WIA,Maryland Workers by Industry,2015Q3,72,Accommodation and Food Services,10038,
Workers,Frederick WIA,Maryland Workers by Industry,2019Q3,72,Accommodation and Food Services,10969,
Workers,Frederick WIA,Maryland Workers by Industry,2020Q3,72,Accommodation and Food Services,7749,
Workers,Frederick WIA,Maryland Workers by Industry,2015Q4,72,Accommodation and Food Services,9721,
Workers,Frederick WIA,Maryland Workers by Industry,2017Q4,72,Accommodation and Food Services,10204,
Workers,Frederick WIA,Maryland Workers by Industry,2016Q4,72,Accommodation and Food Services,9900,
Workers,Frederick WIA,Maryland Workers by Industry,2018Q4,72,Accommodation and Food Services,10850,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2015Q1,62,Health Care and Social Assistance,3610,
Workers,Frederick WIA,Maryland Workers by Industry,2019Q4,72,Accommodation and Food Services,10529,
Workers,Frederick WIA,Maryland Workers by Industry,2020Q4,72,Accommodation and Food Services,8461,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2016Q1,62,Health Care and Social Assistance,3868,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2018Q1,62,Health Care and Social Assistance,4346,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2017Q1,62,Health Care and Social Assistance,4310,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2020Q1,62,Health Care and Social Assistance,4233,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2021Q1,62,Health Care and Social Assistance,TBD,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2019Q1,62,Health Care and Social Assistance,4052,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2015Q2,62,Health Care and Social Assistance,3802,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2016Q2,62,Health Care and Social Assistance,4000,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2017Q2,62,Health Care and Social Assistance,4127,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2018Q2,62,Health Care and Social Assistance,4169,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2020Q2,62,Health Care and Social Assistance,3786,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2019Q2,62,Health Care and Social Assistance,3951,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2015Q3,62,Health Care and Social Assistance,3790,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2016Q3,62,Health Care and Social Assistance,4206,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2017Q3,62,Health Care and Social Assistance,4146,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2018Q3,62,Health Care and Social Assistance,4100,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2020Q3,62,Health Care and Social Assistance,4534,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2019Q3,62,Health Care and Social Assistance,4137,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2015Q4,62,Health Care and Social Assistance,4320,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2019Q4,62,Health Care and Social Assistance,4163,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2018Q4,62,Health Care and Social Assistance,4288,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2016Q4,62,Health Care and Social Assistance,4137,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2017Q4,62,Health Care and Social Assistance,4255,
Earnings,Frederick WIA,Maryland Average Earnings by Industry,2020Q4,62,Health Care and Social Assistance,5056,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2015Q1,62,Health Care and Social Assistance,83,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2017Q1,62,Health Care and Social Assistance,29,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2018Q1,62,Health Care and Social Assistance,157,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2016Q1,62,Health Care and Social Assistance,26,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2019Q1,62,Health Care and Social Assistance,220,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2021Q1,62,Health Care and Social Assistance,TBD,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2020Q1,62,Health Care and Social Assistance,-750,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2016Q2,62,Health Care and Social Assistance,98,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2015Q2,62,Health Care and Social Assistance,108,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2017Q2,62,Health Care and Social Assistance,176,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2018Q2,62,Health Care and Social Assistance,78,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2020Q2,62,Health Care and Social Assistance,-878,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2019Q2,62,Health Care and Social Assistance,78,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2016Q3,62,Health Care and Social Assistance,57,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2015Q3,62,Health Care and Social Assistance,90,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2019Q3,62,Health Care and Social Assistance,145,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2018Q3,62,Health Care and Social Assistance,95,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2017Q3,62,Health Care and Social Assistance,-7,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2015Q4,62,Health Care and Social Assistance,167,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2020Q3,62,Health Care and Social Assistance,977,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2018Q4,62,Health Care and Social Assistance,54,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2016Q4,62,Health Care and Social Assistance,55,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2017Q4,62,Health Care and Social Assistance,-48,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2019Q4,62,Health Care and Social Assistance,52,
Job Change,Frederick WIA,Maryland Job Net Change by Industry,2020Q4,62,Health Care and Social Assistance,-383,
New Hires,Frederick WIA,Maryland New Hires by Industry,2015Q1,62,Health Care and Social Assistance,1112,
New Hires,Frederick WIA,Maryland New Hires by Industry,2016Q1,62,Health Care and Social Assistance,1103,
New Hires,Frederick WIA,Maryland New Hires by Industry,2017Q1,62,Health Care and Social Assistance,1319,
New Hires,Frederick WIA,Maryland New Hires by Industry,2018Q1,62,Health Care and Social Assistance,1340,
New Hires,Frederick WIA,Maryland New Hires by Industry,2020Q1,62,Health Care and Social Assistance,1444,
New Hires,Frederick WIA,Maryland New Hires by Industry,2021Q1,62,Health Care and Social Assistance,1380,
New Hires,Frederick WIA,Maryland New Hires by Industry,2019Q1,62,Health Care and Social Assistance,1456,
New Hires,Frederick WIA,Maryland New Hires by Industry,2016Q2,62,Health Care and Social Assistance,1291,
New Hires,Frederick WIA,Maryland New Hires by Industry,2015Q2,62,Health Care and Social Assistance,1267,
New Hires,Frederick WIA,Maryland New Hires by Industry,2018Q2,62,Health Care and Social Assistance,1399,
New Hires,Frederick WIA,Maryland New Hires by Industry,2017Q2,62,Health Care and Social Assistance,1508,
New Hires,Frederick WIA,Maryland New Hires by Industry,2020Q2,62,Health Care and Social Assistance,959,
New Hires,Frederick WIA,Maryland New Hires by Industry,2019Q2,62,Health Care and Social Assistance,1512,
New Hires,Frederick WIA,Maryland New Hires by Industry,2015Q3,62,Health Care and Social Assistance,1433,
New Hires,Frederick WIA,Maryland New Hires by Industry,2017Q3,62,Health Care and Social Assistance,1549,
New Hires,Frederick WIA,Maryland New Hires by Industry,2016Q3,62,Health Care and Social Assistance,1667,
New Hires,Frederick WIA,Maryland New Hires by Industry,2018Q3,62,Health Care and Social Assistance,1679,
New Hires,Frederick WIA,Maryland New Hires by Industry,2019Q3,62,Health Care and Social Assistance,1834,
New Hires,Frederick WIA,Maryland New Hires by Industry,2020Q3,62,Health Care and Social Assistance,1395,
New Hires,Frederick WIA,Maryland New Hires by Industry,2015Q4,62,Health Care and Social Assistance,1479,
New Hires,Frederick WIA,Maryland New Hires by Industry,2016Q4,62,Health Care and Social Assistance,1273,
New Hires,Frederick WIA,Maryland New Hires by Industry,2018Q4,62,Health Care and Social Assistance,1314,
New Hires,Frederick WIA,Maryland New Hires by Industry,2019Q4,62,Health Care and Social Assistance,1406,
New Hires,Frederick WIA,Maryland New Hires by Industry,2017Q4,62,Health Care and Social Assistance,1387,
New Hires,Frederick WIA,Maryland New Hires by Industry,2020Q4,62,Health Care and Social Assistance,1388,
Separations,Frederick WIA,Maryland Separations by Industry,2015Q1,62,Health Care and Social Assistance,1164,
Separations,Frederick WIA,Maryland Separations by Industry,2017Q1,62,Health Care and Social Assistance,1463,
Separations,Frederick WIA,Maryland Separations by Industry,2018Q1,62,Health Care and Social Assistance,1369,
Separations,Frederick WIA,Maryland Separations by Industry,2016Q1,62,Health Care and Social Assistance,1223,
Separations,Frederick WIA,Maryland Separations by Industry,2019Q1,62,Health Care and Social Assistance,1379,
Separations,Frederick WIA,Maryland Separations by Industry,2020Q1,62,Health Care and Social Assistance,2380,
Separations,Frederick WIA,Maryland Separations by Industry,2021Q1,62,Health Care and Social Assistance,TBD,
Separations,Frederick WIA,Maryland Separations by Industry,2018Q2,62,Health Care and Social Assistance,1462,
Separations,Frederick WIA,Maryland Separations by Industry,2016Q2,62,Health Care and Social Assistance,1369,
Separations,Frederick WIA,Maryland Separations by Industry,2017Q2,62,Health Care and Social Assistance,1504,
Separations,Frederick WIA,Maryland Separations by Industry,2015Q2,62,Health Care and Social Assistance,1322,
Separations,Frederick WIA,Maryland Separations by Industry,2019Q2,62,Health Care and Social Assistance,1577,
Separations,Frederick WIA,Maryland Separations by Industry,2020Q2,62,Health Care and Social Assistance,1952,
Separations,Frederick WIA,Maryland Separations by Industry,2017Q3,62,Health Care and Social Assistance,1694,
Separations,Frederick WIA,Maryland Separations by Industry,2015Q3,62,Health Care and Social Assistance,1521,
Separations,Frederick WIA,Maryland Separations by Industry,2016Q3,62,Health Care and Social Assistance,1783,
Separations,Frederick WIA,Maryland Separations by Industry,2020Q3,62,Health Care and Social Assistance,817,
Separations,Frederick WIA,Maryland Separations by Industry,2019Q3,62,Health Care and Social Assistance,1861,
Separations,Frederick WIA,Maryland Separations by Industry,2018Q3,62,Health Care and Social Assistance,1736,
Turnover,Frederick WIA,Maryland Turnover Rate by Education,2015Q4,E5,Educational attainment not available (workers aged 24 or younger),0.194,
Turnover,Frederick WIA,Maryland Turnover Rate by Education,2016Q4,E5,Educational attainment not available (workers aged 24 or younger),0.199,
Turnover,Frederick WIA,Maryland Turnover Rate by Education,2018Q4,E5,Educational attainment not available (workers aged 24 or younger),0.189,
Turnover,Frederick WIA,Maryland Turnover Rate by Education,2017Q4,E5,Educational attainment not available (workers aged 24 or younger),0.187,
Turnover,Frederick WIA,Maryland Turnover Rate by Education,2020Q4,E5,Educational attainment not available (workers aged 24 or younger),TBD,
Turnover,Frederick WIA,Maryland Turnover Rate by Education,2019Q4,E5,Educational attainment not available (workers aged 24 or younger),0.248,
Separations,Frederick WIA,Maryland Separations by Industry,2015Q4,62,Health Care and Social Assistance,1447,
Separations,Frederick WIA,Maryland Separations by Industry,2016Q4,62,Health Care and Social Assistance,1339,
Separations,Frederick WIA,Maryland Separations by Industry,2017Q4,62,Health Care and Social Assistance,1571,
Separations,Frederick WIA,Maryland Separations by Industry,2018Q4,62,Health Care and Social Assistance,1438,
Separations,Frederick WIA,Maryland Separations by Industry,2020Q4,62,Health Care and Social Assistance,1979,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2015Q1,62,Health Care and Social Assistance,8,
Separations,Frederick WIA,Maryland Separations by Industry,2019Q4,62,Health Care and Social Assistance,1575,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2016Q1,62,Health Care and Social Assistance,7.9,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2017Q1,62,Health Care and Social Assistance,7.2,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2018Q1,62,Health Care and Social Assistance,7.2,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2020Q1,62,Health Care and Social Assistance,9.7,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2019Q1,62,Health Care and Social Assistance,8,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2021Q1,62,Health Care and Social Assistance,TBD,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2015Q2,62,Health Care and Social Assistance,7.8,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2016Q2,62,Health Care and Social Assistance,7.6,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2018Q2,62,Health Care and Social Assistance,7.7,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2017Q2,62,Health Care and Social Assistance,7.7,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2019Q2,62,Health Care and Social Assistance,8.8,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2020Q2,62,Health Care and Social Assistance,8.7,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2015Q3,62,Health Care and Social Assistance,7.9,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2017Q3,62,Health Care and Social Assistance,7.5,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2016Q3,62,Health Care and Social Assistance,6.8,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2018Q3,62,Health Care and Social Assistance,7.4,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2019Q3,62,Health Care and Social Assistance,7.8,
Turnover,Frederick WIA,Maryland Turnover Rate by Industry,2020Q3,62,Health Care and Social Assistance,8,
